metric,value,unit_or_status,source_id,notes
Large-load DP requests with projected connection dates,25000,MW,DOM_QUEUE_2026,"Assigned projected connection dates through December 31 2031"
Additional large-load DP requests in assigned study batches,45000,MW,DOM_QUEUE_2026,"Being studied for projected connection dates as of December 31 2025"
Total large-load requests advancing through queue,70000,MW,DOM_QUEUE_2026,"Nearly triple Dominion Zone's then-current all-time peak"
Dominion Zone all-time peak cited in filing,24678,MW,DOM_QUEUE_2026,"Recorded January 23 2025"
Average new large-load requests,10,requests/month,DOM_QUEUE_2026,"Company stated approximately ten new requests per month"
Average new requested load,2000-3000,MW/month,DOM_QUEUE_2026,"Approximate additional requested load associated with new requests"
Formal large-load threshold,~100,MW,DOM_QUEUE_2026,"Standards apply to DP Requests associated with large loads of approximately 100 MW or more serving data-center customers"
Maximum DP request size,300,MW,DOM_QUEUE_2026,"Each Delivery Point request capped at 300 MW"
Queue batch size,~10,DP requests,DOM_QUEUE_2026,"Each batch typically represents 2-3 GW aggregate load"
Queue stages,4,stages,DOM_QUEUE_2026,"Project Initiation; Project Feasibility; Project Development; Project Execution"
Initiation site-screen requirement,"land + constructible route + environmental viability",required,DOM_QUEUE_2026,"Initial viability assessment before queue placement"
Feasibility customer milestone,"zoning conformance letter + 30% engineering site plan",required,DOM_QUEUE_2026,"Required to progress through Project Feasibility"
Development customer milestone,"permits + 100% grading plan + construction one-line",required,DOM_QUEUE_2026,"Required during Project Development"
Fast-track rule,current status,not yet proposed,DOM_QUEUE_2026,"Company stated no specific fast-track rules proposed in February 2026 filing"
