source_id,organization,title,as_of,url,used_for
DOM_QUEUE_2026,Virginia SCC / Dominion Energy Virginia,Large-Load Connection Queue Process Standards filing PUR-2026-00011,2026-02-02,https://www.scc.virginia.gov/docketsearch/DOCS/8%40%23101%21.PDF,"Queue volumes; ~100 MW threshold; 300 MW DP cap; four-stage process; site-readiness milestones"
TWIN_CREEKS_APOLLO_APP_2024,Dominion Energy Virginia,Twin Creeks to Apollo 230 kV Application Volume 1 of 3,2024,https://www.dominionenergy.com/-/media/content/about/power-line-projects/nova/pdfs/application-documents/application-volume-1-of-3-2024.pdf,"Explicit requested loads, target in-service dates, ramp years, and bridging-power evidence for five substations"
NOVA_2026,Dominion Energy Virginia,Northern Virginia reliability projects portal,2026-09-21,https://www.dominionenergy.com/nova,"Current SCC status for Twin Creeks-Apollo, Aspen-Golden, Golden-Mars and regional project map"
WISHING_STAR_MARS_2026,Dominion Energy Virginia,Wishing Star to Mars,2026-09-21,https://www.dominionenergy.com/about/delivering-energy/electric-projects/power-line-projects/wishingstar-mars,"Construction and energization status"
ASPEN_GOLDEN_2026,Dominion Energy Virginia,Aspen to Golden,2026-09-21,https://www.dominionenergy.com/about/delivering-energy/electric-projects/power-line-projects/aspen-golden,"SCC approval; January 2027 construction start; June 2028 SCC-approved in-service date"
GOLDEN_MARS_2026,Dominion Energy Virginia,NOVA portal - Golden to Mars,2026-09-21,https://www.dominionenergy.com/nova,"March 2025 filing and June 29 2026 final order approving Route 3A"
BECO_FIREHOUSE_2026,Dominion Energy Virginia,BECO to Firehouse,2026-09-21,https://www.dominionenergy.com/about/delivering-energy/electric-projects/power-line-projects/beco-to-firehouse,"May 2026 SCC filing; procedural schedule; early-2029 expected in-service timing"
GLOBAL_PLAZA_2026,Dominion Energy Virginia,Global Plaza Extension,2026-09-21,https://www.dominionenergy.com/about/delivering-energy/electric-projects/power-line-projects/global-plaza-extension,"Pre-filed 230 kV project; SCC filing target; construction and in-service timeline"
MORRISVILLE_WISHING_STAR_2026,Dominion Energy Virginia,Morrisville to Wishing Star,2026-09-21,https://www.dominionenergy.com/MorrisvilleWishingStar,"February 2026 SCC filing; 500/230 kV scope"
CEE_2026,Dominion Energy Virginia,Commonwealth Energy Express,2026-09-21,https://www.dominionenergy.com/about/delivering-energy/electric-projects/power-line-projects/commonwealth-energy-express,"Proposed ~200-mile HVDC project from Heritage Substation to Mosby Substation"
LOUDOUN_MAP_2025,Dominion Energy Virginia,Loudoun Reliability Projects Overview map,2025-01,https://www.dominionenergy.com/-/media/content/about/power-line-projects/nova/pdfs/maps/loudoun-reliability-projects-overview-january-2025-open-house.pdf,"Spatial relationship among Aspen, Golden, Wishing Star, Mars, existing 500/230 kV lines, and data-center development"
